386.542	19.000
386.565	17.400
386.587	17.000
386.610	20.600
386.632	20.000
386.654	11.400
386.677	17.200
386.699	19.600
386.721	16.400
386.744	17.000
386.766	25.400
386.789	20.400
386.811	19.000
386.833	18.000
386.856	17.000
386.878	22.400
386.900	21.600
386.923	20.000
386.945	22.200
386.968	16.000
386.990	21.000
387.012	19.400
387.035	18.800
387.057	18.200
387.079	16.600
387.102	17.200
387.124	14.800
387.147	18.200
387.169	12.200
387.191	15.800
387.214	16.800
387.236	16.000
387.259	13.200
387.281	17.800
387.303	21.000
387.326	14.400
387.348	15.200
387.370	13.800
387.393	15.800
387.415	17.000
387.438	15.000
387.460	14.800
387.482	18.400
387.505	14.200
387.527	13.200
387.549	12.200
387.572	14.000
387.594	9.000
387.617	16.200
387.639	17.800
387.661	12.000
387.684	8.000
387.706	12.400
387.728	4.200
387.751	15.000
387.773	13.600
387.796	16.000
387.818	10.800
387.840	14.400
387.863	14.600
387.885	15.400
387.907	11.400
387.930	15.000
387.952	14.600
387.975	12.800
387.997	15.400
388.019	16.800
388.042	15.600
388.064	13.400
388.086	12.000
388.109	15.000
388.131	12.800
388.154	17.600
388.176	19.600
388.198	9.400
388.221	15.000
388.243	12.200
388.266	16.800
388.288	15.200
388.310	11.200
388.333	14.600
388.355	15.200
388.377	13.600
388.400	14.200
388.422	16.200
388.445	13.600
388.467	9.800
388.489	14.400
388.512	13.200
388.534	12.400
388.556	13.200
388.579	12.000
388.601	7.600
388.624	6.400
388.646	6.200
388.668	5.600
388.691	4.400
388.713	8.000
388.735	5.800
388.758	7.000
388.780	2.800
388.803	5.400
388.825	4.000
388.847	8.200
388.870	0.800
388.892	0.400
388.914	6.000
388.937	2.000
388.959	0.000
388.982	3.000
389.004	1.400
389.026	-1.000
389.049	1.600
389.071	-1.200
389.094	1.000
389.116	1.000
389.138	-0.400
389.161	-0.600
389.183	-11.800
389.205	-2.200
389.228	-8.400
389.250	0.800
389.273	2.000
389.295	4.400
