number(int) fiberConfig fpDistance(float) depth lateralPosition(float) tag
0 - - - - control
1 1 0 0 23.54 depth
2 . . 1 . .
3 . . 2 . .
4 . . 3 . .
5 . . 4 . .
6 . . 5 . .
7 . . 6 . .
8 . . 7 . .

9 . 0 0 23.49 fpDistance0
10 . 2 . . .
11 . 4 . . .
12 . 6 . . .
13 . 7 . . .
14 . 8 . . .
15 . 10 . . .

16 0 0 1 - lateralPosition
17 . . . . .
18 - - - . control

19 - - - - random
20 - - - - .
21 - - - - .
22 - - - - .
23 - - - - .
24 - - - - .
25 - - - - .
26 - - - - .
27 - - - - .
